Date,Time,Value,,Ratio,Change,Inc/Dec,Value of Rand
,,R,$,,,[bool],[bool]
12/01/2021,7:30:20 PM,15.36948236,1,0.065064,0,FALSE,TRUE
13/01/2021,8:30:20 PM,15.1503674,,0.066005,-0.000941,FALSE,TRUE
14/01/2021,9:30:20 PM,15.1503674,,0.066005,0,FALSE,TRUE
15/01/2021,10:30:20 PM,15.36948236,,0.065064,0.000941,TRUE,FALSE
16/01/2021,11:30:20 PM,15.22881291,,0.065665,-0.000601,FALSE,TRUE
17/01/2021,12:30:20 AM,15.22881292,,0.065665,4.31E-11,TRUE,FALSE
18/01/2021,1:30:20 AM,15.22881293,,0.065665,4.31E-11,TRUE,FALSE
19/01/2021,2:30:20 AM,15.22881294,,0.065665,4.31E-11,TRUE,FALSE
20/01/2021,3:30:20 AM,15.22881295,,0.065665,4.31E-11,TRUE,FALSE
21/01/2021,4:30:20 AM,15.22881296,,0.065665,4.31E-11,TRUE,FALSE
22/01/2021,5:30:20 AM,15.22881297,,0.065665,4.31E-11,TRUE,FALSE
23/01/2021,6:30:20 AM,15.22881298,,0.065665,4.31E-11,TRUE,FALSE
24/01/2021,7:30:20 AM,15.22881299,,0.065665,4.31E-11,TRUE,FALSE
25/01/2021,8:30:20 AM,15.228813,,0.065665,4.31E-11,TRUE,FALSE
26/01/2021,9:30:20 AM,15.22881301,,0.065665,4.31E-11,TRUE,FALSE
27/01/2021,10:30:20 AM,15.22881302,,0.065665,4.31E-11,TRUE,FALSE
28/01/2021,11:30:20 AM,15.22881303,,0.065664999,4.31E-11,TRUE,FALSE
29/01/2021,12:30:20 PM,15.22881304,,0.065664999,4.31E-11,TRUE,FALSE
30/01/2021,1:30:20 PM,15.22881305,,0.065664999,4.31E-11,TRUE,FALSE
31/01/2021,2:30:20 PM,15.22881306,,0.065664999,4.31E-11,TRUE,FALSE
01/02/2021,3:30:20 PM,15.062,,0.066392245,-0.000727246,FALSE,TRUE
02/02/2021,4:30:20 PM,14.962,,0.066835984,-0.000443739,FALSE,TRUE
03/02/2021,5:30:20 PM,14.942,,0.066925445,-8.95E-05,FALSE,TRUE
04/02/2021,6:30:20 PM,15,,0.066666667,0.000258778,TRUE,FALSE
05/02/2021,7:30:20 PM,14.84,,0.067385445,-0.000718778,FALSE,TRUE
06/02/2021,7:30:20 PM,14.842,,0.067376364,9.08E-06,TRUE,FALSE
07/02/2021,7:30:20 PM,14.918,,0.067033114,0.00034325,TRUE,FALSE
08/02/2021,7:30:20 PM,14.866,,0.06726759,-0.000234476,FALSE,TRUE
09/02/2021,7:30:20 PM,14.725,,0.067911715,0.999765524,FALSE,TRUE
10/02/2021,7:30:20 PM,14.755,,0.067773636,1.999765524,FALSE,TRUE
11/02/2021,7:30:20 PM,#DIV/0!,,#DIV/0!,2.999765524,FALSE,TRUE
